date,population,admission,release
2020-03-01,130247.75075609675,2664.6982197592674,2192.7977229514117
2020-03-02,130403.65125290463,2346.5315530926005,4346.763072916762
2020-03-03,129556.11308027379,3500.6708462318934,4038.0044118166384
2020-03-04,129161.8357477514,3631.621875674315,3267.277437267219
2020-03-05,129138.43669614346,3243.4260047069124,4215.4205745221225
2020-03-06,128860.48427045863,3937.881594215444,3926.0482355865474
2020-03-07,129123.87579902216,4191.58143081675,1757.588471276783
2020-03-08,129861.72720412891,2495.4148763835296,2020.2673307237876
2020-03-09,130042.00300439695,2206.8515987337596,4335.9158767782155
2020-03-10,129282.68109088454,3679.177871311757,3853.4281065025134
2020-03-11,129036.35100221391,3607.0787870626727,4280.039417605204
2020-03-12,128444.45441108025,3690.823860954298,3722.914957582468
2020-03-13,128199.50419764295,3479.7647441451813,3907.1282471041914
2020-03-14,127736.4782671962,3443.602316657453,1769.6458295217742
2020-03-15,128764.64427814144,2294.1569872962773,2069.5021831130066
2020-03-16,128674.32408607511,1979.1819910467177,5046.712328040542
2020-03-17,126016.57635777697,2391.379454814834,4631.192400504312
2020-03-18,123550.26341208749,2164.879454814834,4113.5373202904075
2020-03-19,121319.51285498979,1883.7573514280243,3945.4602894780824
2020-03-20,119091.92896455879,1717.876399047072,3652.445137962931
2020-03-21,117002.51174079445,1563.0279141985875,1264.7840268518191
2020-03-22,116900.91168874726,1162.283974804648,1213.227877119199
2020-03-23,116616.68062065734,928.4968090292468,3497.334526214087
2020-03-24,114424.76773438556,1308.3547635747016,3372.215755907078
2020-03-25,112468.7686468151,1420.883335003273,2845.61410755543
2020-03-26,110804.66974239482,1182.015203135141,2527.322044063366
2020-03-27,109587.39147289515,1311.9580602779981,2456.569663110985
2020-03-28,108358.77987006215,1228.8747269446649,875.2853196766414
2020-03-29,108586.9712975322,1107.1656360355742,986.0166328079546
2020-03-30,108559.12939166892,958.5080602779982,2311.0721883635106
2020-03-31,107408.68748580561,1159.937472042704,2236.519048266892
2020-04-01,106361.47535047372,1191.5001496499785,2485.4483960929792
2020-04-02,105100.98543736407,1227.458482983312,2212.388872283455
2020-04-03,104203.02925441314,1195.9455861579152,2103.1931832502664
2020-04-04,103182.67913206825,1085.4279093902387,907.8891428462256
2020-04-05,103196.55123194559,921.7612427235719,866.0224761795589
2020-04-06,103165.65666515626,835.1279093902384,2027.6266428462259
2020-04-07,102254.34543170029,1118.7529093902385,1937.5313145633975
2020-04-08,101490.5670265271,1162.9620792744083,1875.1787384717084
2020-04-09,100810.06307118743,1185.2458588136765,2058.525724586114
2020-04-10,99986.64192093136,1416.604574330056,1448.5002112106004
2020-04-11,99896.39280419731,1359.9844278099094,712.3683449287344
2020-04-12,100261.65357202322,1075.6291127545944,746.3842540196434
2020-04-13,100426.75903681874,911.3474423924364,2049.011840863694
2020-04-14,99511.13042918265,1131.5991423185262,1824.9777499546028
2020-04-15,98874.47606397087,1186.8483847427688,1735.6828224183707
2020-04-16,98323.9430755706,1184.7331673514643,1791.5016258371743
2020-04-17,97770.53904016184,1238.930923761721,1713.043292503841
2020-04-18,97376.0377825308,1317.0003682061651,799.81968139273
2020-04-19,97670.51985823314,1092.5517570950544,829.06968139273
2020-04-20,97791.5852672688,945.9684237617212,1791.123252821301
2020-04-21,97378.07805725682,1375.2512992195964,1752.2643465315127
2020-04-22,97020.04022272234,1393.8931786636817,1689.3118934290596
2020-04-23,96738.60520204064,1330.783818272107,1665.7730045401709
2020-04-24,96476.54965466344,1387.950333875289,1681.3589694524514
2020-04-25,96375.63314237392,1579.2757904962932,834.4018113327933
2020-04-26,96792.79558307587,1252.7309187014216,848.4025689085508
2020-04-27,97054.91181165664,1111.4528883983915,1994.39163817262
2020-04-28,96480.7445265289,1421.2410197115228,1750.1243332553152
2020-04-29,96276.54839247228,1517.1268721104893,1937.9961791689643
2020-04-30,95816.83221402473,1481.2522229436272,1820.55173472452
2020-05-01,95537.5505593867,1542.1272229436272,1748.8137664204226
2020-05-02,95279.84903671344,1491.273782208735,903.1265869332432
2020-05-03,95767.41332600605,1389.857542892496,898.7319887777753
2020-05-04,96116.64533598372,1248.9223320888068,2031.7180388388254
2020-05-05,95563.19956818366,1601.2191574856324,1768.1718697301565
2020-05-06,95398.04546705028,1603.0177685967433,1578.6004411587278
2020-05-07,95481.0407165662,1660.0956906746655,1762.4600371183237
2020-05-08,96003.45023375891,1693.9525987758002,1792.5786187782096
2020-05-09,95875.10081066986,1668.9086828686866,885.4247726243634
2020-05-10,96417.58472091421,1428.3253495353529,866.4838635334544
2020-05-11,96809.21408570398,1256.3275140375174,2530.979635816727
2020-05-12,96290.70422582953,2010.1236220961255,1851.2353245724155
2020-05-13,96142.61688787764,1703.14798662049,1880.2761975882884
2020-05-14,96136.89066103678,1875.9249707474742,1832.6799466170376
2020-05-15,96164.8427558743,1860.132041454545,1753.179946617038
2020-05-16,96426.72666889364,2012.663859636363,1010.2838427209338
2020-05-17,97011.24694554934,1594.7619948344984,1079.8314617685526
2020-05-18,97327.767222205,1396.351738424242,2310.553683990775
2020-05-19,96854.09305441624,1838.0025320750358,1992.1647951018858
2020-05-20,96959.93079138939,2097.657293979798,2111.2300548421463
2020-05-21,96813.07112576514,1955.953722551226,2058.3952909948816
2020-05-22,96691.33665716609,2000.4108223958262,1925.1260602256514
2020-05-23,96838.2411995561,2073.6965366815402,1044.9173189669098
2020-05-24,97533.8033177036,1742.7794371144407,1115.3903958899866
2020-05-25,97976.38680337247,1558.723881558885,1091.0070625566534
2020-05-26,98423.94171761282,1539.228643463647,2483.4987292233204
2020-05-27,98031.58148033799,2053.9928625778657,2014.3823432944343
2020-05-28,97962.90307064915,1967.2039336056037,2235.5441564812472
2020-05-29,97827.94037857605,2100.4386072652774,2174.687013624104
2020-05-30,97773.66816269339,2120.2481310748017,1074.770346957438
2020-05-31,98386.99594681077,1688.0981310748011,1184.317966005057
2020-06-01,98763.58563569002,1560.240988217658,2538.86533442611
2020-06-02,98033.22795614826,1809.0187659954358,2144.731243517019
2020-06-03,97763.16825640446,1882.0113165004864,2432.872639620915
2020-06-04,97544.4001151022,2154.3027928002725,1895.8881780435365
2020-06-05,97509.73426319375,1862.6071746199218,2171.487312242671
2020-06-06,97692.31126842812,2355.130984143732,1028.9922073475664
2020-06-07,98348.53862331288,1685.2195622323095,1198.4445882999469
2020-06-08,100784.25407343572,1480.73262371779,2643.7928496199474
2020-06-09,100501.74466709458,2279.694418047718,2918.9529713609513
2020-06-10,101318.22206765565,2836.938782379392,2522.3191165389285
2020-06-11,101293.54445185908,2497.097910998751,2614.546115030633
2020-06-12,101335.36585567032,2664.2145776654183,2256.557085699892
2020-06-13,101282.2154963962,2200.2754132944347,1024.910621053428
2020-06-14,102057.45604621294,1801.0511708701927,1001.8661766089836
2020-06-15,102829.80770714082,1648.3563656753877,2535.18955323236
2020-06-16,102523.97884858816,2226.0273613463833,2452.1062198990267
2020-06-17,102547.91110114664,2330.9357576561943,2317.3562198990267
2020-06-18,102486.0576394194,2255.50275817178,2386.2097827009593
2020-06-19,102496.66069943129,2396.312842712843,2472.5431160342923
2020-06-20,102460.5970927765,2435.9795093795096,1051.9067523979288
